index,producer->batch_size,producer->linger_ms,broker->num.network.threads,broker->num.io.threads,broker->queued.max.requests,broker->num.partitions,broker->num.replica.fetchers,consumer->fetch_wait_max_ms,consumer->fetch_min_bytes,consumer->batch_interval,topic->partitions,gc_collection_count,gc_collection_time,memory_heap_usage_used,memory_non_heap_usage_used,network_request_FetchConsumer_TotalTimeMs,network_request_FetchFollower_TotalTimeMs,network_request_Fetch_MessageConversionsTimeMs,network_request_Produce_TotalTimeMs,network_socket_FetchConsumer_NetworkProcessorAvgIdlePercent,network_socket_FetchConsumer_RequestHandlerAvgIdlePercent,os_open_fd_count,os_process_cpu_time,server_broker_topics_TotalFetchRequestsPerSec,server_broker_topics_TotalProduceRequestsPerSec,server_broker_topics_AllTopicsBytesIn,server_broker_topics_AllTopicsBytesOut,server_replica_fetcher_MinFetchRate,server_replica_manager_LeaderCount,server_replica_manager_PartitionCount,threading_daemon_thread_count,threading_peak_thread_count,threading_thread_count,latency_min,latency_max,latency_median,latency_mean,latency_std,latency_25th,latency_50th,latency_75th,latency_90th,latency_95th,latency_99th
17,50628,5,12,7,4683,3,3,151,27807,6,9,57507839921620.12,67954758142497.12,381.25,50.63,0.62,252.11,252.74,126.82,0.99,0.99,187.0,394760708.37,12894.4,369.42,0.33,0.35,96.39,3.0,9.0,35.0,70.0,70.0,0.26,7.54,3.6,3.63,1.72,2.16,3.6,5.1,6.0,6.33,6.8
18,223911,43,19,18,3973,3,7,560,47989,1,3,59778901562962.57,61061470067603.35,242.02,61.9,0.77,34.37,35.13,17.19,1.0,1.0,202.2,232712184.29,0.0,17.18,0.55,0.65,15.41,1.0,3.0,46.0,88.0,88.0,0.41,3.77,1.27,1.3,0.45,0.96,1.27,1.56,1.83,2.04,2.73
19,184039,46,17,1,1976,1,6,574,212607,9,6,65132874751281.22,63808821614440.81,271.39,60.22,0.93,67.99,68.98,17.01,0.95,0.95,209.09,296785054.0,5784.0,33.95,0.56,0.93,14.95,2.0,6.0,29.73,71.73,71.73,0.78,11.07,5.72,5.76,2.47,3.72,5.72,7.83,9.12,9.71,10.46
20,218967,53,4,13,3339,3,4,942,217601,8,7,56849919881265.18,64073802726549.0,200.91,61.8,1.27,89.49,90.76,14.92,0.91,0.92,159.85,258020431.96,3226.39,44.71,0.73,1.01,13.67,3.0,7.0,37.85,64.62,64.62,0.63,10.3,5.09,5.14,2.26,3.24,5.09,7.04,8.2,8.72,9.44
21,46576,42,4,2,327,7,1,976,163298,6,9,60727563478116.56,64487798522900.56,408.31,62.04,0.97,38.13,39.1,19.09,0.99,0.98,163.07,246692248.15,6452.78,57.25,0.53,0.59,16.94,3.0,9.0,30.0,58.0,58.0,0.37,7.93,3.86,3.9,1.71,2.49,3.86,5.32,6.23,6.63,7.18
22,236742,82,20,3,4389,5,2,10,8723,7,7,52129284809474.9,54551089076102.9,303.09,57.76,0.85,39.96,40.86,9.99,1.0,0.99,214.5,215860627.15,0.0,20.01,0.53,0.65,9.23,2.0,7.0,32.0,81.0,81.0,0.59,9.15,4.65,4.65,1.95,3.03,4.65,6.27,7.25,7.71,8.37
23,238858,60,11,22,1985,8,9,99,179557,1,3,59199828108089.68,59783570949391.01,250.13,67.14,0.82,25.55,26.36,12.79,1.0,1.0,190.12,200175215.62,1.67,12.78,0.58,0.69,11.53,1.0,3.0,51.0,89.0,89.0,0.42,3.66,1.3,1.33,0.45,0.99,1.3,1.61,1.88,2.07,2.72
24,210533,12,6,20,1169,3,2,14,246219,6,14,58977322341535.23,68163349520326.55,437.74,66.81,0.91,234.58,235.54,58.88,0.99,0.99,196.07,344343152.14,80.86,290.56,0.42,0.48,50.99,5.0,14.0,49.0,83.0,83.0,0.25,7.7,3.8,3.82,1.71,2.41,3.8,5.24,6.15,6.54,7.04
25,103046,83,13,8,3995,9,1,699,60153,6,9,62714816298332.36,59391706515464.12,281.75,61.57,1.04,20.12,21.16,10.07,0.97,0.99,190.0,219941849.52,4099.99,30.21,0.58,0.75,9.22,3.0,9.0,36.0,73.0,73.0,0.43,9.32,4.13,4.11,1.75,2.66,4.13,5.54,6.42,6.85,7.56
26,116499,74,22,8,1396,6,6,273,99496,4,4,67399759370227.32,60878235318786.39,310.56,56.77,0.72,20.5,21.21,10.25,1.0,0.99,216.07,189692901.63,2.87,10.26,0.48,0.51,9.57,1.0,4.0,36.0,83.0,83.0,0.61,6.17,2.81,2.8,1.1,1.88,2.81,3.72,4.22,4.51,4.81
27,185461,65,23,2,1967,2,9,911,207522,3,11,60998586372733.08,63622987605592.44,273.24,68.92,1.67,77.11,78.77,12.87,0.97,0.97,254.0,307689924.87,5354.77,38.6,0.46,0.53,11.72,3.0,11.0,31.0,85.0,85.0,0.24,5.3,2.2,2.19,0.91,1.45,2.2,2.93,3.39,3.63,4.06
28,240385,82,3,7,3440,4,5,411,250501,7,6,54547097586636.09,59534708387270.72,278.87,65.65,1.1,40.29,41.33,10.06,0.97,0.99,167.0,245976728.98,3902.12,20.12,0.64,0.99,9.02,2.0,6.0,35.0,63.0,63.0,0.68,9.0,4.6,4.64,1.95,3.03,4.6,6.27,7.25,7.73,8.33
29,196645,84,16,18,4812,1,5,696,203086,7,14,64959305803663.32,55436388263722.12,280.54,58.64,0.94,82.41,83.35,10.3,1.0,1.0,242.0,292374865.87,0.0,41.32,0.48,0.59,9.46,4.0,14.0,46.0,94.0,94.0,0.37,9.37,4.7,4.69,2.04,2.99,4.7,6.38,7.42,7.9,8.56
30,113363,26,18,17,4206,8,9,782,135405,2,13,60950721717578.83,53973194247413.84,321.99,62.22,2.01,175.29,177.29,29.34,0.97,0.99,241.0,335830019.62,0.0,117.26,0.43,0.53,24.98,4.0,13.0,46.0,94.0,94.0,0.17,4.7,1.53,1.54,0.65,1.02,1.53,2.02,2.36,2.55,3.2
31,149766,34,16,11,4217,4,7,934,208693,5,4,58576107208585.13,61313191146865.41,173.09,63.79,0.6,41.21,41.78,20.61,1.0,0.99,210.0,276171923.3,2923.53,20.62,0.41,0.45,18.17,1.0,4.0,40.0,84.0,84.0,0.66,6.08,3.28,3.3,1.32,2.2,3.28,4.4,5.08,5.39,5.75
32,252272,83,22,21,753,8,3,320,145635,6,10,59597571745657.12,55187729903629.45,501.79,58.41,1.1,20.26,21.36,10.13,1.0,1.0,230.0,231766935.06,8895.99,30.38,0.53,0.73,9.1,3.0,10.0,50.0,98.0,98.0,0.41,7.82,3.98,4.01,1.73,2.57,3.98,5.45,6.35,6.75,7.31
33,136700,52,22,14,4020,5,6,710,219300,3,5,61490825852075.83,60019008265597.44,197.96,62.86,0.65,29.2,29.85,14.61,1.0,1.0,233.0,251906243.7,4893.17,14.6,0.34,0.38,13.42,1.0,5.0,43.0,94.0,94.0,0.36,6.07,2.12,2.14,0.9,1.41,2.12,2.82,3.26,3.49,4.37
34,65706,33,8,1,4400,7,2,829,259083,9,6,62449131367741.6,63494955153517.82,296.42,66.72,0.96,91.06,92.03,22.83,0.99,0.95,182.0,275601586.43,0.0,45.69,0.53,0.89,19.19,2.0,6.0,29.0,62.0,62.0,0.71,10.87,5.67,5.71,2.48,3.62,5.67,7.8,9.07,9.64,10.37
35,147074,29,9,15,3559,1,8,300,89158,9,12,60560786283138.19,56066688528879.26,223.39,68.13,1.22,213.73,214.97,26.79,0.99,0.99,211.0,360115315.31,13129.18,107.13,0.49,0.79,23.15,4.0,12.0,43.0,81.0,81.0,0.4,11.19,5.6,5.63,2.55,3.52,5.6,7.73,9.12,9.7,10.47
36,177283,6,4,21,1485,8,6,947,224241,6,13,62090626299133.11,63785827115464.24,232.19,64.39,0.73,456.69,457.36,115.94,0.94,0.99,177.0,428074305.92,26217.89,421.43,0.25,0.31,95.47,4.0,13.0,49.0,78.0,78.0,0.21,7.93,3.72,3.7,1.75,2.21,3.72,5.19,6.06,6.39,6.88
37,139860,24,23,9,1701,5,8,358,54252,8,10,53759619710738.31,64943302720783.1,283.45,68.54,1.0,184.18,185.27,30.81,1.0,0.99,245.0,335140719.23,47.11,92.42,0.45,0.62,27.11,3.0,10.0,37.0,88.0,88.0,0.4,10.18,4.96,5.03,2.28,3.14,4.96,6.94,8.15,8.66,9.34
38,261899,39,4,9,3740,9,6,634,200578,6,14,62359334352689.26,60528461534939.53,357.27,54.66,0.96,82.13,83.09,20.64,0.99,0.99,178.07,288281670.73,5845.72,103.13,0.54,0.61,18.62,5.0,14.0,37.0,66.0,66.0,0.29,9.54,4.05,4.04,1.79,2.57,4.05,5.5,6.4,6.83,7.58
39,92722,53,19,17,1731,2,7,813,154355,8,11,62672669537996.02,62958168890807.98,360.0,64.94,0.91,93.78,94.69,15.63,1.0,1.0,250.07,301435083.56,7261.94,46.86,0.45,0.59,13.82,3.0,11.0,46.0,98.0,98.0,0.42,10.34,5.11,5.16,2.31,3.22,5.11,7.1,8.3,8.83,9.55
40,172261,90,10,1,3490,8,4,547,238583,8,12,60163669948191.08,59845302723957.56,242.12,66.96,1.38,77.08,78.46,9.63,1.0,0.96,194.55,284607881.42,0.0,38.54,0.58,0.95,8.79,4.0,12.0,29.0,69.0,69.0,0.41,10.72,5.18,5.24,2.3,3.35,5.18,7.16,8.38,8.94,9.68
41,226677,48,14,9,539,5,2,209,180387,2,10,66353585645181.08,67516331262387.55,264.75,60.62,1.55,66.89,68.43,16.74,1.0,0.99,216.0,305824607.51,4990.16,50.19,0.47,0.58,15.08,3.0,10.0,38.0,81.0,81.0,0.18,5.03,1.55,1.58,0.7,1.04,1.55,2.04,2.39,2.62,3.8
42,251117,50,14,21,3872,4,8,586,235133,5,10,62052276648921.49,60227754457587.13,201.55,58.84,0.92,130.09,131.01,16.26,1.0,1.0,216.0,300357251.35,0.0,65.06,0.65,0.75,14.93,4.0,10.0,49.0,90.0,90.0,0.33,7.41,3.38,3.39,1.45,2.19,3.38,4.57,5.32,5.67,6.2
43,45374,23,21,2,588,3,1,593,81360,2,5,50771587141446.77,60109379993220.25,180.52,62.31,1.48,58.5,59.96,29.29,0.98,0.97,195.0,300893951.72,10189.52,58.59,0.61,0.71,26.51,2.0,5.0,30.0,74.0,74.0,0.24,4.37,1.46,1.48,0.64,0.98,1.46,1.94,2.25,2.44,3.39
44,35312,64,17,4,3901,6,7,112,127336,7,13,67240300570979.56,67631851834113.8,203.52,58.69,0.86,105.09,106.05,13.16,1.0,0.98,240.0,295520107.07,7746.59,52.7,0.5,0.68,11.78,4.0,13.0,32.0,79.0,79.0,0.36,9.63,4.64,4.64,2.01,3.0,4.64,6.31,7.34,7.8,8.45
45,18233,47,6,14,321,1,4,312,135026,2,4,62249110075135.41,54726817934868.86,255.73,54.87,1.43,95.2,96.63,23.8,0.99,0.99,166.0,280496302.62,4321.05,47.57,0.78,0.89,21.56,2.0,4.0,42.0,71.0,71.0,0.28,3.81,1.44,1.45,0.59,0.97,1.44,1.91,2.18,2.34,3.03
46,98310,31,13,10,867,7,6,110,120480,5,14,61956692193265.24,69121891084034.53,244.57,68.34,1.21,101.27,102.48,25.44,1.0,0.99,205.0,305763673.28,15372.97,101.81,0.41,0.46,22.52,4.0,14.0,38.0,76.0,76.0,0.26,7.44,3.35,3.34,1.45,2.13,3.35,4.53,5.28,5.63,6.12
47,115364,85,20,9,4140,9,9,540,9207,2,6,47515251497858.99,54683356123814.7,386.99,57.55,1.02,38.15,39.18,9.54,1.0,0.99,218.07,245904689.03,5.05,19.12,0.61,0.74,8.71,2.0,6.0,37.0,83.0,83.0,0.28,4.12,1.55,1.55,0.6,1.07,1.55,2.01,2.32,2.48,2.94
48,48296,72,10,1,3384,6,2,365,211370,6,4,68862686685556.32,59090323971466.63,319.62,52.45,0.62,23.83,24.45,11.91,0.95,0.97,180.0,196280126.09,2402.33,11.99,0.44,0.56,9.83,1.0,4.0,29.0,63.0,63.0,0.8,8.98,4.13,4.11,1.66,2.73,4.13,5.48,6.21,6.67,7.39
49,202491,49,6,13,2195,4,5,752,124181,5,9,60723022773571.45,56617659668810.48,295.13,58.78,0.75,98.05,98.8,16.37,0.99,0.99,189.0,315646549.82,6717.52,49.16,0.53,0.6,14.6,3.0,9.0,41.0,74.0,74.0,0.35,6.76,3.3,3.32,1.42,2.15,3.3,4.49,5.24,5.58,6.05
50,240593,46,5,21,3615,5,4,703,76832,4,8,59816410120029.33,55471992624365.88,338.32,63.5,0.84,103.0,103.85,17.17,0.99,1.0,181.0,301825842.9,7391.4,51.56,0.62,0.7,15.71,3.0,8.0,49.0,80.0,80.0,0.33,7.1,2.75,2.76,1.2,1.77,2.75,3.72,4.32,4.62,5.34
51,204921,13,18,10,2655,6,2,429,66379,4,7,54610870526958.89,55307004400099.38,271.87,63.49,0.76,188.89,189.63,47.64,1.0,0.99,198.8,310522772.11,13398.24,94.62,0.41,0.46,38.03,2.0,7.0,38.0,82.0,82.0,0.31,5.39,2.65,2.64,1.14,1.68,2.65,3.59,4.15,4.4,4.78
52,245907,38,14,16,805,4,6,76,35419,9,7,68334440549842.85,64125323833463.7,369.02,54.71,1.6,82.33,84.01,20.63,0.98,1.0,201.0,338313304.21,12.2,61.72,0.71,1.35,17.82,3.0,7.0,44.0,83.0,83.0,0.63,11.24,5.61,5.68,2.51,3.58,5.61,7.78,9.11,9.68,10.45
53,121426,22,13,11,2712,3,1,569,151754,1,6,62188836612372.16,50449428607025.98,340.88,65.63,1.52,61.93,63.45,31.08,0.98,0.99,184.79,280891955.23,4727.25,62.11,0.49,0.67,25.75,2.0,6.0,40.0,80.0,80.0,0.28,4.13,1.25,1.28,0.49,0.92,1.25,1.58,1.85,2.05,2.97
54,112967,85,3,1,1159,1,9,473,197428,3,8,70976790926245.88,67057552508164.45,452.08,66.75,1.04,58.74,59.78,9.79,0.99,0.96,175.0,244592704.83,11.2,29.37,0.67,0.78,8.92,3.0,8.0,29.0,58.0,58.0,0.29,4.33,2.18,2.17,0.87,1.45,2.18,2.9,3.33,3.55,3.84
55,129063,59,18,16,2474,1,3,936,156440,5,14,59176813548519.94,62857775839068.99,397.26,58.53,1.2,28.41,29.61,14.23,1.0,0.99,210.13,253575401.15,9.26,71.18,0.57,0.64,13.29,5.0,14.0,44.0,85.0,85.0,0.28,6.99,3.43,3.42,1.46,2.22,3.43,4.61,5.37,5.72,6.21
56,48547,23,19,6,3072,2,6,438,7826,4,8,55073282674064.18,56559826920564.1,545.95,63.41,1.01,125.35,126.35,31.41,1.0,0.99,217.0,327082912.97,13421.77,94.2,0.55,0.64,27.17,3.0,8.0,34.0,79.0,79.0,0.3,5.31,2.64,2.64,1.13,1.7,2.64,3.58,4.16,4.42,4.77
57,46868,9,22,17,1529,7,4,510,118173,1,8,55258974130706.67,52121949357809.34,263.32,66.01,2.32,382.53,384.84,65.32,1.0,0.99,244.0,356299997.31,10388.43,192.16,0.49,0.67,53.2,3.0,8.0,46.0,98.0,98.0,0.24,4.24,1.24,1.27,0.5,0.91,1.24,1.57,1.85,2.07,2.96
58,30684,53,21,5,3824,6,5,808,37288,2,7,66407897084381.36,58744232188710.97,314.78,58.97,1.5,59.7,61.2,14.95,1.0,0.99,226.0,277420689.83,10240.69,29.87,0.47,0.56,13.44,2.0,7.0,33.0,81.0,81.0,0.23,4.36,1.53,1.53,0.62,1.03,1.53,2.0,2.32,2.49,3.05
59,172640,84,11,21,4545,1,5,123,191301,2,6,64077144210990.89,47033667831255.16,357.55,63.17,1.44,38.34,39.78,9.58,1.0,1.0,203.0,222820294.93,4.88,19.17,0.58,0.69,8.94,2.0,6.0,50.0,90.0,90.0,0.28,4.62,1.54,1.56,0.64,1.06,1.54,2.02,2.34,2.53,3.37
60,228348,56,18,6,4228,8,2,308,13421,8,9,52612429339432.6,52956900943213.51,320.29,60.53,0.97,57.84,58.8,14.46,1.0,0.99,215.0,289876252.82,0.0,43.31,0.55,0.87,13.24,3.0,9.0,34.0,77.0,77.0,0.5,10.64,5.18,5.19,2.3,3.25,5.18,7.12,8.28,8.81,9.52
61,79333,30,19,7,2483,7,8,550,176569,9,12,44302089736852.34,52315991825226.31,399.17,53.75,1.1,207.03,208.22,26.0,0.96,0.99,241.0,350077791.95,961.87,104.0,0.5,0.69,22.77,4.0,12.0,35.0,83.0,83.0,0.41,11.31,5.59,5.66,2.57,3.51,5.59,7.82,9.16,9.73,10.5
62,39404,85,14,17,2732,5,5,566,61038,1,4,60999407020102.64,53971343994748.8,391.8,65.73,0.8,23.09,23.88,11.55,1.0,1.0,192.0,211632997.51,0.0,11.55,0.41,0.49,10.48,1.0,4.0,45.0,83.0,83.0,0.32,3.73,1.29,1.32,0.47,0.97,1.29,1.61,1.88,2.09,2.82
63,163775,44,17,8,2627,1,5,638,144879,5,4,61328919877354.95,61408597792402.06,486.28,63.52,1.19,65.11,66.29,16.28,1.0,0.99,211.07,265660967.92,0.0,32.54,0.89,1.03,15.06,2.0,4.0,37.0,81.0,81.0,0.7,6.14,3.34,3.35,1.31,2.27,3.34,4.45,5.11,5.44,5.79
64,241150,90,6,22,964,4,8,654,58617,2,11,56090101900064.27,57687706498754.26,216.25,67.36,2.09,75.91,78.0,9.49,1.0,1.0,197.0,288623165.37,5.05,37.95,0.61,0.77,8.82,4.0,11.0,50.0,84.0,84.0,0.19,5.25,1.61,1.65,0.73,1.1,1.61,2.11,2.49,2.8,4.09
65,93994,53,5,23,4245,5,5,89,139789,8,7,58953070840705.47,59232671500312.72,407.3,55.01,0.98,59.37,60.28,14.85,0.96,1.0,178.0,271532689.42,14.63,29.63,0.49,0.76,13.55,2.0,7.0,51.0,82.0,82.0,0.59,10.18,5.08,5.14,2.25,3.25,5.08,7.03,8.19,8.71,9.42
66,172997,21,11,11,3097,1,8,539,135989,3,5,61272525844891.06,68622661411076.38,201.86,58.47,1.02,126.14,127.17,31.55,1.0,0.99,186.27,306817873.36,4438.42,63.13,0.61,0.67,28.18,2.0,5.0,39.0,74.0,74.0,0.34,5.55,2.06,2.07,0.88,1.35,2.06,2.76,3.2,3.42,4.08
67,39639,89,8,21,4029,7,8,727,117669,3,8,53831405181836.2,55306247511719.39,366.23,61.91,1.02,37.34,38.36,9.33,1.0,1.0,192.07,234512535.5,7994.21,18.64,0.44,0.53,8.69,2.0,8.0,49.0,84.0,84.0,0.3,4.63,2.17,2.16,0.87,1.45,2.17,2.88,3.32,3.53,3.83
68,242705,80,17,5,3426,3,3,636,118732,2,3,56782107048314.32,62570669880898.48,375.62,57.23,1.01,19.62,20.63,9.81,0.97,0.99,196.0,205620934.32,1.3,9.81,0.62,0.72,8.82,1.0,3.0,33.0,73.0,73.0,0.41,3.87,1.55,1.54,0.57,1.08,1.55,1.97,2.24,2.45,2.9
69,55334,21,6,12,2943,8,4,2,81536,5,13,59393625716183.88,69684884169238.91,514.27,56.19,0.98,284.79,285.78,35.8,0.99,0.99,203.0,372659034.13,39.0,143.06,0.42,0.5,31.92,4.0,13.0,40.0,75.0,75.0,0.27,6.77,3.3,3.29,1.44,2.1,3.3,4.48,5.23,5.56,6.02
70,71281,15,18,6,1465,7,3,394,94140,6,6,63620843071210.77,58414190167772.52,240.69,62.9,0.68,84.27,84.99,42.28,0.96,0.99,202.0,322790263.4,12835.43,84.3,0.49,0.62,36.42,2.0,6.0,34.0,75.0,75.0,0.48,7.35,3.84,3.84,1.65,2.47,3.84,5.22,6.06,6.42,6.91
71,43611,72,5,13,856,6,7,66,222629,7,12,62955711422692.28,61537446960711.02,432.02,56.95,1.36,94.47,95.7,11.81,0.99,0.99,199.0,305550736.56,11291.24,47.12,0.56,0.78,11.1,4.0,12.0,41.0,75.0,75.0,0.37,9.18,4.55,4.58,2.0,2.94,4.55,6.23,7.31,7.79,8.44
72,201184,53,20,13,4529,3,3,88,135665,4,7,48165301010883.84,51640233693292.35,404.38,59.65,1.0,30.01,31.01,15.03,1.0,0.99,221.07,232825748.57,0.0,30.04,0.48,0.57,13.54,2.0,7.0,42.0,89.0,89.0,0.36,7.6,2.77,2.79,1.21,1.8,2.77,3.73,4.33,4.65,5.73
73,120665,26,14,7,4299,5,8,556,254967,5,12,56391037473434.6,64777158239991.75,368.65,63.97,1.17,233.99,235.15,29.35,1.0,0.99,226.0,307334629.62,18364.23,117.34,0.49,0.54,26.05,4.0,12.0,35.0,78.0,78.0,0.28,6.72,3.3,3.3,1.42,2.13,3.3,4.48,5.23,5.56,6.02
74,169568,17,23,6,4737,9,6,768,10499,9,10,60225047585897.4,45294915762237.45,260.34,68.28,0.96,166.77,167.73,41.87,1.0,0.99,231.0,353285345.89,8993.73,125.43,0.41,0.71,36.31,3.0,10.0,34.0,82.0,82.0,0.43,13.37,5.83,5.85,2.63,3.69,5.83,7.99,9.32,9.94,11.24
75,95705,11,6,17,3496,1,9,815,223344,6,9,60337651631935.5,62066117294212.66,305.7,64.42,0.56,351.7,352.27,59.59,0.95,0.99,189.0,363314622.3,19777.54,176.71,0.45,0.51,50.85,3.0,9.0,45.0,78.0,78.0,0.34,9.82,3.91,3.92,1.78,2.43,3.91,5.36,6.25,6.67,7.74
